CaseID,q1,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q4r10,q4r11,q56,q57,TechAttitudeMean,TechUseSocialMean,ShoppingAttitudeMean,SocialWebMean,RadioWebMean,VideoWebMean,LeaderMean,Clusters
1853,2,1,0,0,0,0,1,0,0,0,0,0,5,1,2.8,2.25,3.4,2.5,3.75,3.25,2,1
1097,2,0,0,0,0,1,1,0,1,0,0,0,10,1,3,1.75,3.2,3,3.5,2.5,2,2
65,6,0,0,0,0,0,1,1,1,0,0,0,12,1,4,2.75,3.6,3.25,2.75,3.25,2.583333333,1
1762,2,1,0,0,0,1,1,0,0,0,0,0,5,2,3,3.5,3,4,3.25,3.25,2.833333333,3
1016,4,1,1,0,1,1,1,1,1,0,0,0,7,1,2,3,3.7,2.5,3.5,2.25,1.75,4
1511,1,1,0,1,0,1,0,0,1,0,0,0,2,2,3,2.25,3,4,3.5,3,2.416666667,5
1404,3,1,0,0,0,1,1,0,0,1,0,0,2,2,2.4,2.75,3.6,2.5,4,3.25,2.25,3
1027,5,0,0,0,0,1,1,1,0,0,0,0,9,1,2.8,2.5,2.8,2.25,2.5,3.25,2.25,2
729,3,0,0,1,0,0,1,0,0,0,0,0,7,2,3,3.5,4.9,2.75,2,2.5,2.75,1
751,4,1,1,1,1,0,0,1,0,0,0,0,5,1,2.8,2.5,1.3,2,1.25,1.25,2.333333333,4
121,3,0,0,0,0,0,0,0,0,0,1,0,6,1,2.8,4.75,3.7,2.75,3.5,3.5,3,6
628,2,1,0,0,0,1,1,0,0,0,0,0,7,2,3,2.25,3.2,3.25,3.25,2.75,2.083333333,3
2117,2,1,1,1,1,1,1,1,1,1,0,0,12,2,1.4,2,1.8,1.25,1.75,1.25,1.5,4
1317,6,1,1,0,0,1,1,0,0,1,0,0,11,1,3.2,2.5,3.6,3.25,3.25,3.25,2.5,7
1349,2,1,0,0,0,1,1,1,1,1,0,0,5,2,3.2,3,3.1,2,2.5,2.75,2.5,3
277,7,0,0,1,1,1,1,1,1,0,0,0,13,2,2.8,3,3.9,2.25,3.75,2.75,2.083333333,7
1891,4,1,0,1,0,1,1,1,0,1,0,0,10,1,1,1,1.9,2.75,2.5,2.5,0.833333333,7
2139,3,1,1,1,1,1,1,0,1,1,0,0,8,2,2.8,3,2.3,2,2.75,2,2.166666667,4
1112,2,0,0,1,1,1,1,0,0,0,0,0,8,2,1.4,2.25,2.4,2.75,4,3.25,1.666666667,2
1861,4,1,1,0,0,1,1,1,1,1,0,0,7,2,2.8,2.75,2.7,3.25,3.25,2.5,2.5,4
908,2,1,0,1,0,1,0,0,0,0,0,0,5,1,1,1.25,3.3,3.25,2.5,3.25,0.916666667,2
1345,3,1,1,1,1,1,1,1,1,1,1,0,12,2,3.4,3,3.2,3.25,2.5,2.75,2.583333333,6
2030,9,1,0,0,0,0,0,0,0,0,0,0,9,2,4.2,2.5,3.6,4,2.75,3.25,3.666666667,1
1449,7,1,0,1,0,0,1,1,1,1,0,0,11,2,2.8,2.5,4,2,3.5,2.5,2.166666667,6
2310,4,1,0,0,1,1,1,1,1,1,0,0,14,2,1.8,2.5,2.1,1.75,2.5,2.25,2.083333333,7
420,2,0,0,0,1,1,0,0,1,0,0,0,1,2,2.6,4,4.3,3.25,3.25,3.25,2.666666667,5
