"","q5r1","q56","TechAttitudeMean","TechUseSocialMean","ShoppingAttitudeMean","SocialWebMean","RadioWebMean","VideoWebMean","LeaderMean","TVApp","NewsApp","Music","Entertainment","Gaming","SocialNet","ShoppingApp","OtherApps","Clusters","age"
"1",1,5,2.8,2.25,3.18181818181818,2.5,3.75,3.25,2,0,0,1,0,0,1,0,0,"1",2
"2",0,10,3,1.75,3.09090909090909,3,3.5,2.5,2,0,0,0,0,1,1,1,0,"1",2
"3",1,12,4,2.75,3.36363636363636,3.25,2.75,3.25,2.58333333333333,0,1,0,0,0,1,1,0,"1",6
"4",1,5,3,3.5,3,4,3.25,3.25,2.83333333333333,0,0,1,0,1,1,0,0,"2",2
"5",0,7,2,3,3.54545454545455,2.5,3.5,2.25,1.75,2,1,1,0,1,1,1,0,"2",4
"6",0,2,3,2.25,3.18181818181818,4,3.5,3,2.41666666666667,0,0,1,1,1,0,1,0,"3",1
"7",0,2,2.4,2.75,3.54545454545455,2.5,4,3.25,2.25,0,1,1,0,1,1,0,0,"2",3
"8",1,9,2.8,2.5,2.63636363636364,2.25,2.5,3.25,2.25,0,1,0,0,1,1,0,0,"1",5
"9",0,7,3,3.5,4.63636363636364,2.75,2,2.5,2.75,0,0,0,1,0,1,0,0,"1",3
"10",1,5,2.8,2.5,1.45454545454545,2,1.25,1.25,2.33333333333333,2,1,1,1,0,0,0,0,"4",4
"11",0,6,2.8,4.75,3.54545454545455,2.75,3.5,3.5,3,0,0,0,0,0,0,0,1,"3",3
"12",0,7,3,2.25,3,3.25,3.25,2.75,2.08333333333333,0,0,1,0,1,1,0,0,"2",2
"13",1,12,1.4,2,1.81818181818182,1.25,1.75,1.25,1.5,2,2,1,1,1,1,1,0,"4",2
"14",1,11,3.2,2.5,3.45454545454545,3.25,3.25,3.25,2.5,1,1,1,0,1,1,0,0,"2",6
"15",1,5,3.2,3,2.90909090909091,2,2.5,2.75,2.5,0,2,1,0,1,1,1,0,"2",2
"16",0,13,2.8,3,3.72727272727273,2.25,3.75,2.75,2.08333333333333,1,1,0,1,1,1,1,0,"4",7
"17",0,10,1,1,1.81818181818182,2.75,2.5,2.5,0.833333333333333,0,2,1,1,1,1,0,0,"4",4
"18",1,8,2.8,3,2.54545454545455,2,2.75,2,2.16666666666667,2,1,1,1,1,1,1,0,"4",3
"19",1,8,1.4,2.25,2.27272727272727,2.75,4,3.25,1.66666666666667,1,0,0,1,1,1,0,0,"1",2
"20",0,7,2.8,2.75,2.63636363636364,3.25,3.25,2.5,2.5,1,2,1,0,1,1,1,0,"2",4
"21",0,5,1,1.25,3.09090909090909,3.25,2.5,3.25,0.916666666666667,0,0,1,1,1,0,0,0,"3",2
"22",1,12,3.4,3,3.09090909090909,3.25,2.5,2.75,2.58333333333333,2,2,1,1,1,1,1,1,"3",3
"23",1,9,4.2,2.5,3.81818181818182,4,2.75,3.25,3.66666666666667,0,0,1,0,0,0,0,0,"3",9
"24",0,11,2.8,2.5,3.81818181818182,2,3.5,2.5,2.16666666666667,0,2,1,1,0,1,1,0,"3",7
"25",1,14,1.8,2.5,2.18181818181818,1.75,2.5,2.25,2.08333333333333,1,2,1,0,1,1,1,0,"2",4
"26",0,1,2.6,4,4,3.25,3.25,3.25,2.66666666666667,1,0,0,0,1,0,1,0,"3",2
"27",0,5,1,1,1,2.5,2.75,2.75,0.833333333333333,0,0,1,1,1,1,1,1,"3",2
"28",0,5,2.2,4,4.27272727272727,3.25,4,3.5,2.83333333333333,0,0,0,0,0,0,0,0,"1",3
"29",1,4,2.6,3,2.09090909090909,2.75,3.5,3.5,2.5,0,1,1,0,1,1,1,0,"2",3
"30",1,5,2,2.25,3.54545454545455,3,4,3.25,1.5,0,1,0,0,1,1,1,0,"1",2
"31",1,9,2.4,2,2.27272727272727,2.25,3.5,2,2.25,0,1,1,0,1,1,0,0,"2",4
"32",0,9,2.8,1.5,2.27272727272727,2.5,4,2.5,1.83333333333333,0,0,1,0,1,1,1,0,"1",6
"33",1,5,2.2,2.75,2.09090909090909,3,3.25,2,2,0,1,1,1,1,1,1,0,"4",3
"34",1,9,2,3,2.81818181818182,3.25,3.25,2.75,1.91666666666667,0,1,0,0,0,1,0,1,"3",6
"35",1,1,1,3.5,2.81818181818182,1.5,3.25,1.75,1.83333333333333,0,1,0,0,0,1,0,0,"1",2
"36",0,6,1,1,2.36363636363636,3.25,2.75,3.25,0.833333333333333,0,1,1,1,1,1,0,0,"4",2
"37",1,9,1.8,1.5,2.90909090909091,3.25,3.5,3.5,1.66666666666667,0,0,1,0,0,1,0,0,"1",3
"38",0,1,3.2,2,2.27272727272727,1.5,3.25,2,2.08333333333333,0,2,1,1,1,1,1,0,"4",2
"39",1,4,2.2,1.75,2.54545454545455,2.75,4,1.75,1.91666666666667,1,1,1,1,1,1,1,0,"4",2
"40",1,7,2.4,2.75,3,2.75,3.5,3.25,2.41666666666667,0,1,1,0,1,1,0,0,"2",4
"41",0,5,3.2,2.75,3.54545454545455,3,2.75,2.75,2.33333333333333,0,1,1,1,1,1,0,0,"2",4
"42",0,6,1.8,2.75,2.45454545454545,3,3.5,3.25,2,1,0,1,0,0,1,0,0,"1",2
"43",0,9,3.2,1.5,4.72727272727273,2.75,3.25,2.75,2.16666666666667,0,1,1,1,1,1,0,0,"2",3
"44",1,1,3,3.25,4.18181818181818,2.75,3.5,3,2.66666666666667,0,1,1,1,0,1,0,0,"1",8
"45",1,12,1.8,2.25,1.45454545454545,2.75,3.5,2.5,1.41666666666667,0,0,1,0,1,1,1,0,"2",3
"46",0,14,2.6,2,3.27272727272727,3.5,3.75,2.75,2.33333333333333,0,2,1,0,0,1,1,0,"3",9
"47",1,11,3.2,4,2.63636363636364,3,3,3,3,0,1,1,0,0,1,1,0,"3",3
"48",1,7,2.8,2.75,4.18181818181818,2.25,3,2.25,2.5,0,0,1,0,1,1,1,0,"2",3
"49",1,6,3,2.75,4.18181818181818,3.5,4,3.25,2.25,0,2,0,0,1,1,0,0,"1",3
"50",1,12,1.8,2,4.18181818181818,2.75,3.25,2.75,1.75,2,1,1,0,1,1,1,0,"2",5
"51",0,7,2.4,2.75,4.18181818181818,2.5,3.25,2.25,2.33333333333333,0,0,1,0,1,1,0,0,"2",4
"52",0,11,3.2,2.25,1.72727272727273,2,2.75,2,2.25,0,2,1,0,1,1,1,0,"4",7
"53",0,14,2.8,3,2.72727272727273,3,4,3.25,2.41666666666667,0,0,1,0,1,1,0,0,"2",7
"54",0,8,3.4,3,2.63636363636364,3.25,3.25,2.75,2.83333333333333,0,1,1,0,0,1,1,0,"3",2
"55",1,7,2.4,2.5,3.63636363636364,3,2.5,2.5,2.5,0,2,0,0,1,0,1,0,"3",7
"56",1,7,2.4,2.5,2.09090909090909,3.25,2.25,3.5,2,0,2,1,1,1,1,0,0,"2",5
"57",0,6,3.6,3,3.63636363636364,3.5,3.25,3.5,2.91666666666667,0,0,0,1,1,1,0,0,"1",4
"58",0,7,2.6,2,2.54545454545455,2.5,2.75,3.25,1.83333333333333,1,0,0,1,1,1,1,0,"4",2
"59",1,11,3.6,2.5,2,3.25,3.25,3,2.5,0,0,0,0,1,1,1,0,"1",3
"60",1,9,1.4,1.25,1.45454545454545,2.75,3,1.75,1.5,1,2,0,1,1,1,1,0,"4",4
"61",0,2,1,2.25,2.81818181818182,2.5,2.5,3.25,1.25,0,1,1,0,1,1,0,0,"2",2
"62",0,9,2.2,2.75,2.90909090909091,2.25,3,2.5,1.83333333333333,0,2,1,0,1,1,0,1,"3",2
"63",0,2,3.6,3.25,3.09090909090909,2,2,1.75,2.83333333333333,0,0,1,0,0,0,0,0,"3",2
"64",0,9,3.2,3.25,2.36363636363636,2.5,3.5,2.5,2.66666666666667,0,0,1,0,1,1,0,0,"2",2
"65",0,2,2.2,3,3.36363636363636,3.25,3.5,2.75,2.08333333333333,0,0,1,0,1,1,0,1,"3",3
"66",0,6,1,1,1.63636363636364,2.75,3,2.5,0.833333333333333,1,1,1,1,1,1,1,0,"4",2
"67",1,11,2.6,3.75,4.09090909090909,2.5,4,3.25,3.33333333333333,1,1,1,0,1,1,0,0,"2",1
