"","clusterresults$cluster"
"1853",3
"1097",5
"65",5
"1762",2
"1016",1
"1511",4
"1404",4
"1027",1
"729",5
"751",3
"121",2
"628",2
"2117",3
"1317",5
"1349",2
"277",1
"1891",3
"2139",4
"1112",1
"1861",1
"908",3
"1345",2
"2030",4
"1449",5
"2310",1
"420",1
"431",3
"550",1
"2146",1
"256",1
"2329",2
"1833",2
"720",1
"1230",1
"139",1
"1099",3
"1397",1
"1378",2
"2109",2
"2307",1
"1103",5
"610",2
"1543",5
"1373",5
"1375",3
"1428",4
"2242",4
"1588",5
"1193",4
"1553",5
"568",1
"1731",2
"1860",5
"163",1
"24",4
"2347",2
"493",4
"306",1
"862",2
"413",3
"616",3
"1074",1
"1114",4
"1031",2
"12",1
"1245",3
"1354",1
"710",3
"530",3
"1663",2
"1564",3
"2382",5
"1289",4
"1248",4
"1687",1
"2123",1
"999",4
"852",5
"31",3
"245",4
"1138",1
"646",5
"453",1
"842",2
"1162",1
"2225",1
"2078",5
"519",4
"1572",1
"1755",2
"2038",5
"1611",4
"1091",3
"269",3
"1371",2
"1576",1
"324",2
"1390",1
"133",3
"2006",5
"2224",1
"1530",1
"989",3
"596",3
"1312",1
"1608",3
"2282",1
"1049",1
"1110",3
"437",4
"2176",3
"792",1
"1329",5
"2053",5
"1149",1
"767",3
"1000",3
"1882",3
"1330",2
"1603",4
"567",3
"2227",3
"483",4
"1771",1
"145",1
"1021",5
"740",3
"535",4
"1830",4
"547",2
"2013",2
"776",1
"704",1
"1932",4
"1464",5
"298",5
"500",4
"688",5
"1715",2
"1408",2
"1164",3
"266",3
"142",2
"1438",2
"8",2
"870",3
"114",1
"1674",2
"1698",2
"2040",2
"514",3
"687",1
"88",4
"320",2
"2125",5
"1083",3
"2095",3
"1906",5
"480",3
"777",1
"1143",3
"135",2
"641",1
"505",1
"1458",4
"1088",3
"1909",5
"1353",3
"364",4
"1557",1
"2246",1
"1325",2
"1421",3
"1642",1
"2297",1
"2322",1
"1779",2
"2264",2
"2312",3
"2180",3
"931",4
"263",5
"1778",4
"35",1
"887",3
"110",1
"262",1
"910",1
"1023",3
"679",1
"797",2
"2074",3
"23",1
"361",3
"2160",1
"565",1
"2386",2
"1287",3
"2076",5
"1581",4
"1720",2
"1340",2
"1500",2
"1476",3
"215",1
"1435",3
"2208",3
"72",4
"975",1
"763",4
"1960",3
"1171",4
"2374",1
"1842",5
"1785",1
"1700",2
"2255",1
"1529",3
"2035",4
"771",3
"993",1
"1571",4
"1691",1
"230",3
"2091",5
"2360",1
"2183",4
"1689",3
"591",3
"1071",1
"2353",1
"1217",4
"180",2
"1998",1
"1613",1
"800",1
"430",4
"240",1
"680",4
"15",5
"1589",5
"414",4
"44",4
"1843",3
"355",4
"214",3
"243",5
"267",4
"2069",1
"625",3
"1829",5
"1450",5
"714",3
"1528",5
"1533",4
"1671",1
"1047",2
"492",2
"1870",3
"1527",1
"1418",1
"404",1
"274",2
"2260",3
"1794",5
"1954",1
"1536",1
"1314",2
"36",5
"1009",4
"2252",5
"1545",2
"1921",1
"442",1
"799",2
"1640",1
"2221",4
"1286",5
"1648",5
"1264",2
"1368",4
"1987",2
"1184",2
"2081",2
"411",3
"1122",2
"1185",3
"1684",1
"1269",2
"323",3
"1017",4
"5",1
"753",2
"285",2
"1202",4
"1951",5
"1646",5
"2022",3
"99",1
"216",3
"676",2
"2366",3
"196",1
"282",2
"725",3
"182",2
"1662",3
"566",4
"2135",5
"2151",3
"2164",4
"1970",5
"711",3
"393",4
"570",5
"2351",3
"731",5
"1344",2
"2065",3
"689",3
"1782",5
"381",4
"201",2
"2375",4
"575",1
"905",4
"2051",1
"2232",1
"1178",4
"1028",1
"1643",2
"1552",1
"1076",3
"1694",4
"18",4
"1144",4
"1283",5
"538",3
"937",3
"1377",1
"93",1
"107",3
"992",3
"1347",2
"2338",1
"348",2
"239",4
"1180",3
"450",3
"1862",1
"2086",1
"1874",2
"290",2
"2070",3
"98",1
"1342",2
"599",2
"2303",3
"1814",2
"1008",4
"339",2
"1704",2
"1895",5
"1863",3
"95",1
"859",3
"313",1
"1030",3
"721",1
"521",1
"2020",5
"1109",2
"1320",5
"1981",3
"518",2
"1229",5
"996",1
"1319",1
"1461",5
"552",3
"1490",5
"1324",3
"1265",1
"2281",2
"315",2
"2042",3
"804",1
"1577",5
"436",2
"2178",1
"2075",1
"1308",2
"1316",5
"1946",4
"349",2
"1837",2
"2285",1
"841",5
"1803",2
"2265",1
"153",1
"772",4
"268",2
"28",5
"2211",3
"311",1
"42",3
"2008",4
"1115",3
"1246",5
"382",4
"786",3
"1038",1
"428",1
"829",2
"1220",2
"1095",2
"634",3
"105",3
"1036",3
"45",3
"472",3
"1370",4
"417",4
"1832",2
"353",3
"1744",2
"941",3
"2286",3
"824",4
"765",5
"1791",1
"1905",4
"1292",5
"1170",3
"1910",4
"555",3
"2280",3
"1127",3
"217",2
"1011",1
"589",1
"1524",5
"2294",4
"1261",3
"385",2
"2048",2
"1196",3
"2126",1
"833",5
"2045",3
"358",5
"33",5
"548",2
"2094",4
"1828",5
"308",3
"883",3
"103",1
"334",1
"2083",3
"61",1
"2060",4
"295",2
"1062",1
"470",1
"636",2
"678",2
"389",4
"2079",5
"1809",1
"949",5
"562",5
"1835",3
"1477",5
"1518",2
"814",3
"757",5
"2056",4
"1658",3
"1953",5
"1884",4
"1296",3
"684",4
"593",1
"1498",1
"1439",5
"87",4
"2335",3
"2364",2
"1140",2
"388",4
"1918",5
"377",5
"463",2
"1431",5
"1826",3
"933",4
"549",3
"1436",4
"1417",1
"907",3
"1917",5
"672",3
"1063",5
"913",3
"1633",1
"1507",2
"921",2
"1784",5
"707",5
"1504",1
"1801",1
"1985",5
"2000",2
"478",2
"1636",5
"2392",3
"1221",1
"750",1
"1411",5
"1606",4
"1399",1
"903",3
"1015",5
"1562",5
"2389",1
"1240",5
"425",1
"302",1
"2084",2
"773",5
"1756",3
"525",1
"1441",3
"1306",2
"2354",1
"2150",1
"330",3
"834",4
"1908",2
"427",1
"1542",1
"1200",5
"979",3
"416",3
"935",3
"1513",1
"2196",3
"1242",3
"1598",5
"272",1
"1783",4
"1253",1
"746",3
"258",5
"378",5
"851",1
"111",4
"1188",2
"554",1
"532",1
"784",3
"791",3
"1123",4
"305",1
"1897",3
"1145",1
"828",1
"167",3
"844",5
"556",3
"1668",2
"247",2
"1414",4
"963",3
"1976",1
"2267",1
"1792",3
"347",4
"2275",3
"1120",3
"326",1
"1685",2
"1827",1
"919",1
"275",5
"1034",1
"940",4
"512",1
"249",4
"545",4
"698",5
"141",5
"2080",1
"294",3
"439",1
"390",3
"332",2
"1260",1
"1510",5
"960",1
"1394",1
"1336",4
"1901",5
"741",3
"370",3
"2014",4
"1931",3
"2368",4
"1288",3
"1750",2
"1732",2
"2296",3
"6",1
"2237",3
"640",4
"1323",1
"508",1
"106",1
"502",1
"2041",4
"1176",1
"1736",4
"1307",3
"1158",1
"1722",1
"950",5
"244",3
"670",1
"2243",3
"1241",2
"418",1
"1080",2
"1488",1
"976",1
"1660",2
"1040",2
"2152",2
"2018",1
"2063",1
"1300",5
"1764",5
"1410",5
"25",5
"1463",5
"2223",3
"1213",4
"1020",1
"1627",1
"1563",1
"1769",2
"1969",5
"581",3
"1799",5
"1346",2
"1569",5
"1159",5
"231",3
"713",3
"869",3
"2044",4
"1726",5
"973",3
"1850",1
"922",1
"2092",5
"1871",4
"1059",1
"1609",2
"2239",1
"761",2
"432",1
"2277",2
"1274",1
"108",4
"1757",2
"1915",3
"864",2
"2395",3
"2034",2
"1415",2
"117",3
"2257",1
"2185",5
"1927",5
"1301",2
"1224",5
"2352",1
"170",3
"2212",1
"860",5
"1923",5
"351",3
"1626",1
"1173",3
"494",1
"1121",2
"668",3
"1749",1
"890",5
"529",3
"329",2
"1494",2
"546",1
"2370",3
"2279",4
"1935",1
"764",1
"1045",1
"1681",1
"317",1
"762",4
"1919",5
"118",3
"179",4
"2226",3
"1266",5
"2166",3
"2011",2
"1894",4
"1866",4
"276",5
"2129",1
"1997",5
"735",3
"1538",5
"51",3
"2097",3
"177",1
"739",1
"601",1
"810",1
"2064",1
"1942",4
"154",2
"2204",3
"124",2
"1724",5
"1332",1
"1070",3
"422",1
"2295",1
"1209",2
"1281",2
"1537",5
"1781",2
"1383",1
"2173",3
"60",2
"2068",1
"2206",1
"1285",1
"17",2
"1760",5
"2359",3
"614",2
"1767",4
"1913",5
"1637",5
"337",3
"648",1
"1454",2
"116",5
"1137",2
"1469",1
"606",4
"1339",5
"553",1
"1920",1
"956",3
"1037",1
"211",4
"1944",1
"541",5
"1151",3
"769",1
"474",4
"2199",3
"234",1
"224",4
"801",3
"2124",1
"1631",4
"52",2
"400",3
"1310",2
"1717",4
"1056",2
"631",1
"2380",3
"1752",1
"1453",1
"140",4
"527",1
"1856",4
"1250",4
"542",3
"350",4
"89",1
"2391",4
"1079",5
"531",4
"1811",5
"1400",5
"373",1
"952",1
"7",4
"2318",3
"1497",3
"405",3
"889",5
"909",5
"1225",1
"2172",3
"2300",3
"2113",5
