"caseID","q1","q2r1","q2r2","q2r3","q2r4","q2r5","q2r6","q2r7","q2r8","q2r9","q2r10","q4r1","q4r2","q4r3","q4r4","q4r5","q4r6","q4r7","q4r8","q4r9","q4r10","q4r11","q5r1","q11","q12","q13r1","q13r2","q13r3","q13r4","q13r5","q13r6","q13r7","q13r8","q13r9","q13r10","q13r11","q13r12","q24r1","q24r2","q24r3","q24r4","q24r5","q24r6","q24r7","q24r8","q24r9","q24r10","q24r11","q24r12","q25r1","q25r2","q25r3","q25r4","q25r5","q25r6","q25r7","q25r8","q25r9","q25r10","q25r11","q25r12","q26r18","q26r3","q26r4","q26r5","q26r6","q26r7","q26r8","q26r9","q26r10","q26r11","q26r12","q26r13","q26r14","q26r15","q26r16","q26r17","q48","q49","q50r1","q50r2","q50r3","q50r4","q50r5","q54","q55","q56","q57"
1853,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,5,1,1,4,3,4,2,4,4,4,3,4,1,2,3,1,1,6,2,2,2,1,2,5,1,1,1,3,1,1,5,1,3,4,3,2,2,3,4,1,1,5,4,6,1,5,6,6,1,6,3,6,2,3,2,1,0,0,0,0,6,2,5,1
1097,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,NA,3,5,1,4,4,2,4,1,4,4,4,2,3,1,5,1,2,3,4,2,3,1,3,1,2,1,3,3,2,3,3,5,2,2,1,2,3,3,2,4,3,3,3,3,4,2,2,6,4,4,4,3,3,3,4,2,1,0,0,0,0,1,2,10,1
65,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,3,6,1,4,4,1,4,1,4,4,2,4,4,1,6,1,1,6,5,2,1,2,3,2,3,3,2,3,3,2,4,6,2,4,2,2,2,2,3,2,5,4,5,4,3,5,4,4,6,3,4,3,3,2,3,1,0,0,0,0,1,2,2,12,1
1762,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,4,4,4,4,4,1,4,1,4,4,4,4,4,1,4,3,3,3,3,2,4,2,3,5,4,2,2,2,2,2,3,5,2,3,2,5,3,3,1,2,3,4,4,2,2,1,2,6,3,6,4,2,2,1,4,2,1,0,0,0,0,1,2,5,2
1016,4,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,3,6,1,3,3,3,4,1,4,4,3,1,3,1,2,1,2,1,2,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,2,4,3,3,4,2,4,4,3,4,5,3,4,3,4,4,4,4,4,3,4,1,0,1,1,0,0,1,1,7,1
1511,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,4,3,4,4,4,2,4,1,4,4,4,3,4,1,1,5,5,3,5,1,1,1,6,1,1,1,4,3,1,4,3,4,3,3,3,4,2,1,1,3,2,3,1,3,4,1,5,5,1,5,3,4,5,1,1,3,1,0,0,0,0,1,2,2,2
1404,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,4,3,1,1,4,4,4,1,4,4,4,4,4,4,4,4,3,1,1,2,2,3,2,2,3,4,3,3,3,3,2,2,1,2,3,3,2,2,3,4,5,3,4,3,2,4,3,5,2,4,2,2,6,3,3,4,0,1,0,0,0,2,2,2,2
1027,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,3,6,1,2,3,2,4,2,3,4,1,4,3,3,4,1,1,5,3,1,2,2,3,2,3,2,5,3,2,3,5,5,3,1,2,1,3,3,3,1,2,2,3,3,6,5,4,6,2,6,5,2,1,4,4,2,1,0,0,0,0,1,2,9,1
729,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,NA,1,5,1,2,4,1,4,1,4,1,2,1,4,2,5,1,2,4,3,2,3,3,5,4,3,2,3,3,2,3,4,5,2,3,3,2,2,4,6,3,6,4,4,6,5,5,5,5,5,5,6,4,5,5,3,1,0,1,1,0,0,6,2,7,2
751,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,2,2,2,3,2,1,1,1,1,2,1,2,1,1,3,3,3,3,3,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,3,1,0,1,0,1,0,1,2,5,1
